table,column,description,units_or_values
Table S1,part,Whether the row belongs to the results reported in the main text or to a sensitivity analysis,A. Reported results; B. Sensitivity to the assumed effect
Table S1,level,"The unit the metric is computed for. At the primary-study level each effect-size estimate is evaluated against its own sampling standard error; at the meta-analysis level each model is evaluated against the standard error of its pooled estimate. In Part B, the effect-size metric the external value applies to",Primary-study level; Meta-analysis level; All metrics; SMD; Zr; lnRR
Table S1,assumed_effect,The value assumed to be the underlying true effect when computing the metric,text
Table S1,weighting,How meta-analyses are weighted when summarising across them. Not applicable at the primary-study level,By effect-size count; Equal per meta-analysis; -
Table S1,metric,Which design-analysis quantity the row reports,Statistical power; Type M error; Type S error
Table S1,n_unit,Number of units the summary is computed over,count
Table S1,summary_estimate,"Back-transformed intercept of a model fitted on the log scale: a weighted linear model at the meta-analysis level, a linear mixed model with a study random effect at the primary-study level","probability (power, Type S) or ratio (Type M)"
Table S1,ci,"95% confidence interval for summary_estimate, back-transformed on the same scale. Limits falling outside the range the metric can take are constrained to the bound and marked with an asterisk; power lies in [0, 1], Type S error in [0, 0.5] and Type M error is at least 1. No point estimate required constraining",interval
Table S1,raw_median_iqr,"Median of the underlying values with the first and third quartiles, computed directly and without any model or offset","median [Q1, Q3]"
Table S1,n_constrained_limits,How many of the two interval limits in this row were constrained to the metric's bound,"0, 1 or 2"
Table S1,offset_note,"Flag for rows where the Type S values are mostly below the 0.025 offset used to allow the log transformation, so that summary_estimate reflects the offset more than the data and raw_median_iqr should be preferred",text or empty
Table S2,paper,Identifier of the meta-analytical paper in the systematic map that supplied the corpus,MA01-MA47
Table S2,study,First author and year of the meta-analytical paper,text
Table S2,year,Year of publication of the meta-analytical paper,year
Table S2,species,"Species studied, from the systematic map. Papers covering more than three species are summarised as the first two followed by a count",text
Table S2,cognitive_domain,Cognitive domain assigned in the systematic map. A paper spanning more than one domain is listed under each,Learning; Memory; Decision-making; Other
Table S2,task,"Behavioural task or paradigm, from the systematic map, truncated for display. 'unclear' where no specific paradigm could be identified",text
Table S2,manipulation,"Category of experimental manipulation, from the systematic map",Drug; Environmental; Nutrient; Others; Not applicable; Unclear
Table S2,life_stage,"Whether the meta-analysis reported life stage, and whether it also included life stage as a moderator","not reported; reported; reported, modelled"
Table S2,sex,"Whether the meta-analysis reported sex, and whether it also included sex as a moderator","not reported; reported; reported, modelled"
Table S2,effect_size_metric,Effect-size metric or metrics used by the models taken from this paper,SMD; lnRR; Zr
Table S2,n_models,Number of meta-analysis models this paper contributes to the present analysis,count
Table S2,n_effect_sizes,"Number of effect-size estimates contributed, summed over that paper's models",count
Table S2,n_study_clusters,"Number of study clusters contributed, summed over that paper's models. Study identifiers are defined within each meta-analysis and are not harmonised across papers, so this is not a count of distinct primary publications",count
Table S2,n_sign_reversals,Number of this paper's models whose bias-corrected mean has the opposite sign to the uncorrected pooled mean,count
