meta_id,authors_id,year,journal,doi,taxonomic_focus,species_focus,research_aim,cognition_domain,cognition_subtopic,cognitive_domain_study_type,paradigm,task,manipulation,manipulation_category,moderators_examined,life_stage_reported,life_stage_included,sex_reported,sex_included,effect_size_statistics,map_number_studies,map_number_effect_sizes,map_number_species,n_models_included,effect_size_metrics,k_effect_sizes,n_study_clusters,n_sign_reversals_reported
MA01,Diao_etal_2023,2023,Behavioural Brain Research,10.1016/j.bbr.2023.114652,Mammalia,Rattus norvegicus;Mus musculus,human,Memory,deprivation,Studies evaluating the effectiveness of specific cognitive tasks; Studies examining factors influencing cognitive ability,modified multi-platform method,Morris water maze;radial arm water maze;passive avoidance task;nhibitory avoidance task,Yes,Others,proximate factors; individual differences; species differences,y,y,y,y,SMD,50,62,2,3,SMD,52,44,2
MA05,Kavaliotis_etal_2023,2023,Neuroscience and Biobehavioral Reviews,10.1016/j.neubiorev.2022.105001,NA,Macaca mulatta;Mus musculus;Rattus norvegicus;Danio reriol,human,Learning,appetitive conditioning;sleep,Studies examining factors influencing cognitive ability,appetitive conditioning paradigm,Pavlovian conditioning paradigms;instrumental conditioning paradigms;locomotor behavioural sensitisation;cue-induced self-administration;conditioned place preference paradigms,Yes,Drug,proximate factors,y,n,y,y,SMD,20,35,4,3,SMD,37,23,0
MA06,Kredlow_etal_2016,2016,Psychological Bulletin,10.1037/bul0000034,Mammalia,Rattus norvegicus;Mus musculus,human,Memory,fear;appetitive memories,Studies examining factors influencing cognitive ability; Studies evaluating the effectiveness of specific cognitive tasks,fear memory paradigms;appetitive memory paradigms,"reinstatement, renewal, spontaneous recovery, reacquisition",Unclear,Unclear,proximate factors,y,n,y,n,SMD,15,47,2,2,SMD,46,15,2
MA08,Lambert_Guillette_2021,2021,Biological Reviews,10.1111/brv.12783,NA,Sepia officinalis;Sepia pharaonic;Lymnaea stagnalis;Marpissa muscosa;Hogna carolinensis;Teleogryllus commodus;Apis mellifera;Macaca mulatta;Peromyscus leucopus;Mus musculus;Rattus norvegicus;Octodon degus;Cavia porcellus;Sus scrofa;Bos taurus;Sturnus vulgaris;Phasianus colchicus;Gallus gallus;Egernia striolata;Danio rerio;Oncorhynchus mykiss;Salmo salar;Bathygobius cocosensis;Gasterosteus aculeatus;Neolamprologus pulcher;Cichlasoma paranaense;Amatitlania nigrofasciata,animal,Learning,environmental intervation;enrichment intervation;social intervation,Studies examining factors influencing cognitive ability,unclear,"avoidance learning, discrimination learning, inhibitory learning, the Morris water maze, non-match to sample tasks, operant learning, radial mazes, spatial hole-board tasks, T-mazes, Y-mazes, maze-learning tasks",Yes,Nutrient;Evironmental,proximate factors; individual differences; species differences; evolutionary influences,y,y,y,y,SMD,176,531,27,1,SMD,531,176,1
MA09,Moran_etal_2021,2021,Biological Reviews,10.1111/brv.12655,NA,Acanthina monodon;Acheta domesticus;Acyrthosiphon pisum;Aedes aegypti;Aedes triseriatus;Aeshna cyanea;Agelenopsis aperta;Ambystoma texanum;Anax imperator;Anelosimus studiosus;Anolis sagrei;Anoplopoma fimbria;Asplanchna sieboldi;Asterropteryx semipunctata;Brachionus calyciflorus;Buccinanops globulosum;Callinectes sapidus;Cebus albifrons;Cebus apella;Cimex lectularius;Coccinella septempunctata;Coelognathus helena;Coenagrion hastulatum;Coenagrion puella;Coregonus oxyrinchus;Cottus perplexus;Danio rerio;Dineutes discolor;Diplonychus indicus;Drosophila melanogaster;Dytiscus marginalis;Ectatomma ruidum;Elysia clarki`Erigone arctica;Erigone dentipalpis;Eurycea multiplicata;Ficedula albicollis;Fundulus diaphanus;Gadus morhua;Galeruca tanaceti;Gallus gallus;Gammarus pulex;Gasterosteus aculeatus;Gromphadorhina portentosa;Gryllus bimaculatus;Gryllus texensis;Harmonia axyridis;Hogna helluo;Holocnemus pluchei;Hypoaspis aculeifer;Iberolacerta cyreni;Ischnura verticalis;Lacerta viridis;Latrodectus hesperus;Libellula depressa;Lithobates sylvaticus;Litoria ewingii;Loxosceles laeta;Loxosceles reclusa;Lumbricus terrestris;Lycaena tityrus;Lymnaea stagnalis;Micropterus dolomieu;Molothrus ater;Neoseiulus baraki;Nephelopsis obscura;Notechis scutatus;Nucella lapillus;Odontaster validus;Oncorhynchus kisutch;Oncorhynchus mykiss;Oncorhyndtus kisutch;Orius majusculus;Orius sauteri;Pagurus bernhardus;Palaemon elegans;Pardosa milvina;Passer montanus;Pelophylax kl. esculentus;Pelophylax lessonae;Perca fluviatilis;Phaedon cochleariae;Phoxinus phoxinus;Physa gyrina;Phytoseiulus persimilis;Plethodon cinereus;Poecilia reticulata;Pomacentrus chrysurus;Pomacentrus wardi;Procambarus clarkii;Prolasius advenus;Pungitius pungitius;Rana clamitans;Rana esculenta;Rana lessonae;Rhabdomys dilectus chakae;Rhinella marina;Rhithropanopeus harrisii tridentatus;Rhodnius prolixus;Rutilus rutilus;Salamandra salamandra;Salmo trutta;Serpula vermicularis;Setophaga ruticilla;Sitobion avenae;Sphodromantis lineola;Spinibarbus sinensis;Stegodyphus lineatus;Stizostedion vitreum;Sturnus vulgaris;Suricata suricatta;Taeniopygia guttata;Thalassoma bifasciatum;Theragra chalcogramma;Triatoma infestans;Tribolium castaneum;Urocitellus beldingi;Xenopus laevis;Zenaida macroura,animal,Decision-making,resk-taking;dietary restriction;personarity,Studies examining factors influencing cognitive ability,unclear,unclear,Yes,Nutrient,proximate factors; individual differences; species differences; evolutionary influences,y,y,y,y,lnRR;Other,128,1753,108,1,lnRR,1297,126,0
MA10,Ou-Yang_etal_2022,2022,Developmental Cognitive Neuroscience,10.1016/j.dcn.2022.101126,Mammalia,Mus musculus;Rattus norvegicus,human,Learning,cognitive flexibility;maternal deprivation,Studies examining factors influencing cognitive ability,unclear,T-maze; Y-maze;Morris Water Maze;Attentional Set Shifting Task; Five-Choice Serial Reaction Time Task; Four-Choice Serial Reaction Time Task;Barrier Separation Task;Barnes Maze,Yes,Environmental,proximate factors; individual differences,y,y,y,y,SMD,23,32,1,1,SMD,32,32,1
MA12,Roquet_etal_2018,2018,Journal of Psychiatric Research,10.1016/j.jpsychires.2017.09.018,Mammalia,Mus musculus;Rattus norvegicus,human,Memory,extinction;exercise;stress;reward processing,Studies examining factors influencing cognitive ability,"Pavlovian extinction procedures; operant tasks,",Reinstatement;Spontaneous Recovery;Long-term Memory;Relapse,Yes,"Drug, Environmental",proximate factors; individual differences,y,y,y,n,SMD,14,68,2,1,SMD,70,16,0
MA13,Schettino_etal_2024,2024,Neurobiology of Stress,10.1016/j.ynstr.2024.100647,Mammalia,Mus musculus;Rattus norvegicus,human,Learning,NA,Studies examining factors influencing cognitive ability,unclear,Reward task,Yes,Nutrient; Drug,proximate factors; species differences,y,n,y,n,SMD,53,94,2,3,SMD,94,53,2
MA14,Siviter_etal_2018,2018,Journal of Applied Ecology,10.1111/1365-2664.13193,Arthropoda,NA,animal,Learning; Memory,NA,Studies examining factors influencing cognitive ability,olfactory proboscis extension reflex paradigm,absolute conditioning paradigm,Yes,Drug,proximate factors; species differences,y,n,n,n,SMD,23,271,NA,2,SMD,271,37,0
MA15,Song_etal_2022,2022,Frontiers in Aging Neuroscience,10.3389/fnagi.2022.1036315,Mammalia,Rattus norvegicus;Mus musculus,human,Learning; Memory,NA,Studies examining factors influencing cognitive ability,unclear,Morris water maze,Yes,Drug,proximate factors,y,n,y,n,SMD,5,36,2,4,SMD,36,17,2
MA17,Dougherty_Guillette_2018,2018,Philosophical Transactions of the Royal Society B: Biological Sciences,10.1098/rstb.2017.0282,NA,Camponotus aethiops;Gnathonemus petersii;Cyprinus carpio;Gasterosteus aculeatus;Neolamprologus pulcher;Poecilia reticulata;Brachyrhaphis episcopi;Capra hircus;Cavia porcellus;Cavia aperea;Mus musculus;Eulamprus quoyii;Anas platyrhynchos;Aphelocoma coerulescens;Parus major;Poecile atricapillus;Quiscalus mexicanus;Taeniopygia guttata;Passer domesticus,animal,Learning,personality;behavioural syndrome,Studies examining factors influencing cognitive ability,unclear,2 choice location; 2 choice task; 3 choice task; 4 choice task;alternative forced-choice; food tray; foraging board; go/no-go operant; Lashley maze; light signals food; MaLER; object signals food; sequential presentations; simultanous 2 choice; x-maze,Unclear,Unclear,proximate factors; individual differences; species differences; evolutionary influences,n,n,y,y,Correlations,25,66,19,1,Zr,66,22,1
MA18,Musillo_etal_2021,2021,Neuroscience and Biobehavioral Reviews,10.1016/j.neubiorev.2020.12.001,Mammalia,Rattus norvegicus;Mus musculus,human,Learning; Memory,NA,Studies examining factors influencing cognitive ability,unclear,Morris water maze; Passive avoidance; Y-maze; Y-maze with electric shock; T-maze; Novel object recognition: Contextual serial discrimination; Operant brightness discrimination task; Radial arm maze; Passageway water maze,Yes,Drug,proximate factors; species differences; individual differences,y,y,y,y,SMD,21,23,2,1,SMD,23,23,0
MA20,Szabo_etal_2019,2019,Behavioural Processes,10.1016/j.beproc.2019.04.002,Reptilia,"Anolis evermanni;Bassiana duperreyi;Egernia striolata;Eulamprus quoyii;Podarcis bocagei;Podarcis carbonelli;Podarcis sicula;Tiliqua rugosa;Tiliqua scincoides scincoides;Scincella lateralis
",animal,Learning,discrimination learning;sex-dependent learning,Studies examining factors influencing cognitive ability,choice task,Discrimination; Reversal,Unclear,Unclear,individual differences; proximate factors; species differences,y,y,y,y,lnRR;Other,11,92,10,1,lnRR,29,8,0
MA21,Menting_etal_2019,2019,Neuroscience and Biobehavioral Reviews,10.1016/j.neubiorev.2018.12.023,Mammalia,Rattus norvegicus;Mus musculus,human,Memory,NA,Studies examining factors influencing cognitive ability,unclear,Morris Water Maze; Barnes Maze; Y-maze; Novel Object Recognition,Unclear,Unclear,proximate factors; individual differences; species differences,y,y,y,y,SMD,5,11,2,1,SMD,11,6,0
MA22,Macartney_etal_2022,2022,Neuroscience and Biobehavioral Reviews,10.1016/j.neubiorev.2022.104554,Mammalia,Rattus norvegicus;Mus musculus,human,Learning; Memory,stress;environmental enrichment;exercise,Studies examining factors influencing cognitive ability,unclear,5-choice task; 8 arm radial maze; Aversive conditioning; Barnes maze; context-dependent; Contextual fear; Inhibitory avoidance; Morris water maze; Morris water maze - cognitive flexibility; Novel object; Novel object recognition; Open field habituation; Pre-pulse inhibition; Radial arm maze; Renewal of conditioned fear; Rotor rod test; Social recognition; T maze; Temporal object; Y-maze; novel arm,Yes,"Environmental, Others",proximate factors; individual differences,y,y,y,n,lnRR,30,92,2,3,lnRR,276,90,0
MA23,Moreira_etal_2016,2016,PLoS ONE,10.1371/journal.pone.0163245,Mammalia,Mus musculus;Rattus norvegicus,human,Learning; Memory,stress,Studies examining factors influencing cognitive ability,unclear,Hebbs Maze; Labyrinth food finding test; MWM; NOR; Object location; RAM,Yes,"Environmental, Others",proximate factors; individual differences,y,y,y,n,SMD,25,28,2,1,SMD,24,22,1
MA24,Camacho_Alpízar_Guillette_2023,2023,Psychonomic Bulletin and Review,10.3758/s13423-022-02236-4,NA,Drosophila melanogaster;Pan troglodytes;Chlorocebus aethiops;Macaca fascicularis;Peromyscus maniculatus;Mesocricetus auratus;Meriones unguiculatus;Mus musculus;Rhabdomys pumilio;Rattus norvegicus;Uroderma bilobatum;Sus scrofa;Capra hircus;Equus caballus;Canis lupus;Felis catus;Streptopelia orientalis;Corvus corax;Perisoreus infaustus;Taeniopygia guttata;Serinus canaria;Molothrus bonariensis;Cyanistes caeruleus;Poecile palustris;Parus major;Ficedula albicollis;Ficedula hypoleuca;Gallus gallus;Liopholis whitii;Podarcis siculus;Gasterosteus aculeatus;Pungitius pungitius;Poecilia reticulata.,animal,Decision-making; Learning,social learning;copying,Studies examining factors influencing cognitive ability,observer-demonstrator paradigm,unclear,Unclear,Unclear,individual differences; species differences; evolutionary influences,y,y,y,y,SMD,54,139,33,1,SMD,139,54,0
MA25,Jonasson_2005,2005,Neuroscience and Biobehavioral Reviews,10.1016/j.neubiorev.2004.10.006,Mammalia,Rattus norvegicus;Mus musculus,human,Learning; Memory,spatial learning;sex difference; spatial learning;sex difference;working memory;reference memory,Studies examining factors influencing cognitive ability,unclear,water maze;radial maze,Unclear,Unclear,individual differences; species differences,y,y,y,y,SMD,23,39,2,1,SMD,43,22,1
MA26,Lagisz_etal_2020,2020,Neuroscience and Biobehavioral Reviews,10.1016/j.neubiorev.2020.07.012,NA,Apis mellifera carnica;Bombus terrestris audax;Bos taurus;Callithrix jacchus;Canis lupus familiaris;Capra hircus;Coturnix japonica;Drosophila melanogaster;Equus caballus;Felis catus;Gallus gallus;Macaca mulatta;Mesocricetus auratus;Mus musculus;Ovis aries;Pecari tajacu;Rattus norvegicus;Serinus canaria;Sturnus vulgaris;Sus scrofa domesticus;Tayassu pecari;Ursus arctos horribilis,animal,Decision-making,emotion,Studies examining factors influencing cognitive ability,unclear,go/no-go; go/go active task,Yes,"Environmental, Nutrient",proximate factors; individual differences; species differences; evolutionary influences,y,y,y,y,SMD,71,459,22,1,SMD,459,71,1
MA28,Abbott_etal_2019,2019,Neuroscience and Biobehavioral Reviews,10.1016/j.neubiorev.2019.08.010,Mammalia,Rattus norvegicus;Mus musculus,human,Learning; Memory,spatial learning;spatial memory;food condition,Studies examining factors influencing cognitive ability,hippocampal-dependent task,Morris water maze;radial arm maze;radial arm water maze;place and object-in-place recognition memory;spontaneous alternation,No,Not applicable,proximate factors,y,n,y,n,SMD,41,84,2,2,SMD,168,83,2
MA31,Bonapersona_etal_2019,2019,Neuroscience and Biobehavioral Reviews,10.1016/j.neubiorev.2019.04.021,Mammalia,Mus musculus;Rattus norvegicus,human,Memory,stress,Studies examining factors influencing cognitive ability,unclear,Fear Conditioning; Forced swim test; Morrise water maze; Shuttle box; Object in context; Object recognition; Temporal order task; T maze; Y maze; 8-arms radial maze,Yes,Environmental,proximate factors; individual differences; species differences,y,y,y,y,SMD,212,711,2,1,SMD,734,212,0
MA32,Bustamante_etal_2024,2024,Learning and Behavior,10.3758/s13420-023-00609-w,Mammalia,Mus musculus;Rattus norvegicus,human,Learning,extinction,Studies evaluating the effectiveness of specific cognitive tasks,unclear,Conditioned; Conditioned taste aversion; Fear conditioning; Instrumental conditioning,Unclear,Unclear,NA,n,n,y,n,SMD,8,13,2,1,SMD,13,7,0
MA34,Poirier_etal_2020,2020,Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2020.1853,NA,Mus musculus;Rattus norvegicus;Pan troglodytes;Canis lupus;Gymnorhina tibicen;Petroica australis;Ptilonorhynchus violaceus;Melospiza melodia;Chlamydera maculata;Melospiza georgiana;Phasianus colchicus,animal,Other,general cognitive ability;general intelligence,Studies examining factors influencing cognitive ability,unclear,unclear,Unclear,Unclear,individual differences; species differences,n,n,y,n,Correlations,23,555,11,1,Zr,555,23,0
MA39,Rocha_etal_2021,2021,Translational Psychiatry,10.1038/s41398-021-01352-4,Mammalia,Rattus norvegicus;Mus musculus,human,Learning; Memory,stress;spatial learning,Studies examining factors influencing cognitive ability,unclear,Morris water maze; Nobel object recognition; Contextual fear conditioning,Yes,Environmental,proximate factors; individual differences; species differences,y,n,y,y,SMD,45,98,2,2,SMD,52,32,1
MA41,Speechley_etal_2024,2024,Biological Reviews,10.1111/brv.13103,NA,Bos taurus;Callithrix jacchus;Cavia porcellus;Cichlasoma paranaense;Corvus corax;Corvus corone corone;Egernia striolata;Gymnorhina tibicen dorsalis ;Lemur catta;Multiple;Mus musculus;Neolamprologus pulcher;Oncorhynchus mykiss;Passer domesticus;Phasianus colchicus;Poecilia reticulata;Rattus norvegicus;Sapajus apella;Taeniopygia guttata,animal,Other,social intelligence,Studies examining factors influencing cognitive ability,unclear,unclear,Unclear,Unclear,species differences; evolutionary influences,n,n,n,n,Correlations,55,302,19,4,Zr,527,107,3
