table,column,description,units_or_values
Table S2,part,Whether the row belongs to the results reported in the main text or to a sensitivity analysis,A. Reported results; B. Sensitivity to the assumed effect (primary-study level); C. Externally specified assumed effects (meta-analysis level); D. Leave-one-cluster-out (primary-study level)
Table S2,level,"The unit the metric is computed for. At the primary-study level each effect-size estimate is evaluated against its own sampling standard error; at the meta-analysis level each model is evaluated against the standard error of its pooled estimate. In Part B, the effect-size metric the external value applies to",Primary-study level; Meta-analysis level; All metrics; SMD; Zr; lnRR
Table S2,assumed_effect,"The value assumed to be the underlying true effect when computing the metric. In Part D, whether that value was estimated with the effect size's own study cluster included or with it held out",text
Table S2,weighting,"How the individual values are combined into the summary. At the meta-analysis level, whether models are weighted by the number of effect-size estimates they contribute or equally. At the primary-study level, which of three estimands the row reports: a random intercept for study cluster, which is the reported result and which weights study clusters almost equally rather than weighting each effect-size estimate equally; each meta-analysis weighted equally; or meta-analysis identity fitted as a second random effect",By effect-size count; Equal per meta-analysis; Study cluster as a random effect; Meta-analysis as a random effect; -
Table S2,metric,Which design-analysis quantity the row reports,Statistical power; Type M error; Type S error
Table S2,n_unit,Number of units the summary is computed over,count
Table S2,summary_estimate,"Back-transformed intercept of a model fitted on the log scale: a weighted linear model at the meta-analysis level, a linear mixed model with a study random effect at the primary-study level","probability (power, Type S) or ratio (Type M)"
Table S2,ci,"95% confidence interval for summary_estimate, back-transformed on the same scale. Limits falling outside the range the metric can take are constrained to the bound and marked with an asterisk; power lies in [0, 1], Type S error in [0, 0.5] and Type M error is at least 1. No point estimate required constraining",interval
Table S2,raw_median_iqr,"Median of the underlying values with the first and third quartiles, computed directly and without any model or offset","median [Q1, Q3]"
Table S2,n_constrained_limits,How many of the two interval limits in this row were constrained to the metric's bound,"0, 1 or 2"
Table S2,offset_note,"Flag for rows where the Type S values are mostly below the 0.025 offset used to allow the log transformation, so that summary_estimate reflects the offset more than the data and raw_median_iqr should be preferred",text or empty
Table S1,paper,Identifier of the meta-analytical paper in the systematic map that supplied the corpus,MA01-MA47
Table S1,study,First author and year of the meta-analytical paper,text
Table S1,year,Year of publication of the meta-analytical paper,year
Table S1,species,"Species studied, from the systematic map. Papers covering more than three species are summarised as the first two followed by a count",text
Table S1,cognitive_domain,Cognitive domain assigned in the systematic map. A paper spanning more than one domain is listed under each,Learning; Memory; Decision-making; Other
Table S1,task,"Behavioural task or paradigm, from the systematic map, truncated for display. 'unclear' where no specific paradigm could be identified",text
Table S1,manipulation,"Category of experimental manipulation, from the systematic map",Drug; Environmental; Nutrient; Others; Not applicable; Unclear
Table S1,life_stage,"Whether the meta-analysis reported life stage, and whether it also included life stage as a moderator","not reported; reported; reported, modelled"
Table S1,sex,"Whether the meta-analysis reported sex, and whether it also included sex as a moderator","not reported; reported; reported, modelled"
Table S1,effect_size_metric,Effect-size metric or metrics used by the models taken from this paper,SMD; lnRR; Zr
Table S1,n_models,Number of meta-analysis models this paper contributes to the present analysis,count
Table S1,n_effect_sizes,"Number of effect-size estimates contributed, summed over that paper's models",count
Table S1,n_study_clusters,"Number of study clusters contributed, summed over that paper's models. Study identifiers are defined within each meta-analysis and are not harmonised across papers, so this is not a count of distinct primary publications",count
Table S1,n_sign_reversals,Number of this paper's models whose bias-corrected mean has the opposite sign to the uncorrected pooled mean,count
Table S3,specification,Which assumed underlying effect the summary was computed against,Uncorrected pooled mean; Yang 2023 bias-corrected; Yang 2024 bias-robust (FE + VCV); Yang 2024 bias-robust (UWLS)
Table S3,weighting,How the remaining models are combined into the summary,By effect-size count; Each meta-analysis weighted equally
Table S3,metric,Which design-analysis quantity the row reports,Statistical power; Type M error; Type S error
Table S3,dropped_model,The meta-analytic model removed in this row,MA01_01-MA47
Table S3,n_effect_sizes_contributed,Number of effect-size estimates that model contributes,count
Table S3,pct_of_effect_sizes,"That model's share of all 5,740 effect-size estimates, which is its share of the weight under weighting by effect-size count",per cent
Table S3,summary_all_48_models,"The summary computed from all 48 models, repeated on every row of the block for comparison","probability (power, Type S) or ratio (Type M)"
Table S3,summary_without,The summary recomputed from the 47 models that remain,"probability (power, Type S) or ratio (Type M)"
Table S3,change_pct,Percentage change from summary_all_48_models to summary_without,"per cent, signed"
Table S3,influence_rank,"Rank of this model by the absolute size of change_pct, within this specification, metric and weighting; 1 is the most influential",1-48
Table S4,specification,Which assumed underlying effect the summary was computed against,Uncorrected pooled mean; Yang 2023 bias-corrected; Yang 2024 bias-robust (FE + VCV); Yang 2024 bias-robust (UWLS)
Table S4,weighting,How the remaining models are combined into the summary,By effect-size count; Each meta-analysis weighted equally
Table S4,metric,Which design-analysis quantity the row reports,Statistical power; Type M error; Type S error
Table S4,dropped_paper,"The source meta-analytical paper removed in this row, together with every model it contributed",MA01-MA47
Table S4,n_models_dropped,"How many of the 48 meta-analytic models that paper contributed, and therefore how many were removed",count
Table S4,n_effect_sizes_dropped,How many effect-size estimates were removed with it,count
Table S4,pct_of_effect_sizes,"Those estimates as a share of all 5,740",per cent
Table S4,summary_all_28_papers,"The summary computed from all 48 models, repeated on every row of the block for comparison","probability (power, Type S) or ratio (Type M)"
Table S4,summary_without,The summary recomputed from the models that remain after the paper is removed,"probability (power, Type S) or ratio (Type M)"
Table S4,change_pct,Percentage change from summary_all_28_papers to summary_without,"per cent, signed"
Table S4,influence_rank,"Rank of this paper by the absolute size of change_pct, within this specification, metric and weighting; 1 is the most influential",1-28
