"Author","Title","Year","Journal","Location","Taxonomic_group_class","Taxonomic_order","Taxonomic_group_species","Primates","Mammals_Aves_Other","Measure_of_cognition","Measure_of_sociality","Cognitive_Ability_neuroanatomy_or_both","Cognitive_Ability_detailed","Sociality","Intra_inter_both","Captive_or_wild","Stats","Sample_size","Sample_size_species","Design","r","reverse","Sample_size_group1","Sample_size_group2","mean_grp1","dispersion_grp1","mean_grp2","dispersion_grp2","dispersion_type","ci_T","proportion_grp1","proportion_grp2","F","T","df","dferror","D","v","pearsonr_p","z","Source","Shared_control","Shared_treatment","paperid","studyid","esid","data_source","data_page","source_ref","figure_name","yi","CI","CI_low","CI_high","sd1","sd2","study","weight","sample.size","se","var","ci.lo","ci.hi","fishers.z","ci.lo.z","ci.hi.z","measure","row_id","vi","r_regt","yi_zr","se_zr","vi_zr"
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Absolute Brain Size","Sociality","Neuroanatomy","brain size absolute","Broadsociality","Inter","Mixed","D",44,11,"Inter_individual_level",NA,"no",32,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6546,0.1457,NA,NA,"BOTH",NA,NA,"paper42","study43","es231","supplementary data",NA,NA,NA,-0.63743682270054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.753844321946721,0.156173761888606,0.024390243902439
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Olfactory Bulb","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Mixed","D",44,11,"Inter_individual_level",NA,"no",32,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.658,0.1458,NA,NA,"BOTH",NA,NA,"paper42","study43","es232","supplementary data",NA,NA,NA,-0.638213476398605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.755153629662456,0.156173761888606,0.024390243902439
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Olfactory Cortices","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Mixed","D",44,11,"Inter_individual_level",NA,"no",32,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6352,0.145,NA,NA,"BOTH",NA,NA,"paper42","study43","es233","supplementary data",NA,NA,NA,-0.63296793924453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.746352628245652,0.156173761888606,0.024390243902439
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Neocortex","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Mixed","D",44,11,"Inter_individual_level",NA,"no",32,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6456,0.1454,NA,NA,"BOTH",NA,NA,"paper42","study43","es234","supplementary data",NA,NA,NA,-0.635371561547516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.750373227016186,0.156173761888606,0.024390243902439
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Entorhinal Coortex","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Mixed","D",44,11,"Inter_individual_level",NA,"no",32,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5503,0.1419,NA,NA,"BOTH",NA,NA,"paper42","study43","es235","supplementary data",NA,NA,NA,-0.61264572984326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.713145859319549,0.156173761888606,0.024390243902439
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Hippocampus Volume","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Mixed","D",44,11,"Inter_individual_level",NA,"no",32,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.751,0.1494,NA,NA,"BOTH",NA,NA,"paper42","study43","es236","supplementary data",NA,NA,NA,-0.658717647737735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.790544967142628,0.156173761888606,0.024390243902439
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Amygdala","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Mixed","D",44,11,"Inter_individual_level",NA,"no",32,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.9141,0.1562,NA,NA,"BOTH",NA,NA,"paper42","study43","es237","supplementary data",NA,NA,NA,-0.691421917791401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.850674955766639,0.156173761888606,0.024390243902439
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Striatum","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Mixed","D",44,11,"Inter_individual_level",NA,"no",32,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4214,0.1375,NA,NA,"BOTH",NA,NA,"paper42","study43","es238","supplementary data",NA,NA,NA,-0.579301205865584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.661410314579505,0.156173761888606,0.024390243902439
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Septum","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Mixed","D",44,11,"Inter_individual_level",NA,"no",32,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5955,0.1435,NA,NA,"BOTH",NA,NA,"paper42","study43","es239","supplementary data",NA,NA,NA,-0.623621968318269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.730910336888094,0.156173761888606,0.024390243902439
"Kverková et al","Sociality does not drive the evolution of large brains in eusocial African mole-rats",2018,"Scientific Reports","Praha, Czech Republic","Mammalia","Rodentia","Multiple","Other","Mammalia","Thalamus","Sociality","Neuroanatomy","brain region absolute","Broadsociality","Inter","Mixed","D",44,11,"Inter_individual_level",NA,"no",32,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.8512,0.1535,NA,NA,"BOTH",NA,NA,"paper42","study43","es240","supplementary data",NA,NA,NA,-0.679279239745285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.827774558792584,0.156173761888606,0.024390243902439
